KODE_CABANG,CUSTOMER_NUMBER,ALAMAT,LATITUDE,LONGITUDE,STATE,CITY,PROVINCE,ZIP_CODE,CHANNEL,SHIP_METHOD_CODE,SHIP_METHOD_DESC,DELIVERY_AREA_GROUP
JK2,124995,JL. KEDONDONG NO.10 RAWAMANGUN-PULOGADUNG  RAWAMANGUN,-6.20169829999999,106.8884998,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-01,BASE 01,DALAM KOTA
JK2,125877,JL. JENGKI NO. 16 JAKARTA TIMUR CILILITAN,-6.26433509999999,106.8760577,KRAMATJATI,JAKARTA,DKI JAKARTA,13510,PHARMACY REGULAR (REG),B-DR-06,BASE 06,DALAM KOTA
JK2,125730,JL. JATINEGARA TIMUR NO.57 JATINEGARA BALI MESTER,-6.2163499,106.864806,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,125732,JL. BALAI PUSTAKA BARU NO. 19 RAWAMANGUN - PULO GADUNG,-6.1959711,106.8864071,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,HOSPITAL PRIVATE (PVT),B-DR-10,BASE 10,DALAM KOTA
JK2,125733,JL. BALAI PUSTAKA BARU NO.19 RAWAMANGUN,-6.1959711,106.8864071,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-01,BASE 01,DALAM KOTA
JK2,125745,JL. CIPINANG MUARA RAYA NO.26A CIPINANG CIPINANG,-6.223807,106.8906921,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-04,BASE 04,DALAM KOTA
JK2,125810,JL. PASAR PRAMUKA .,-6.1973443,106.857658,PAL MERIAM,JAKARTA,DKI JAKARTA,13140,DRUG STORE,B-DR-10,BASE 10,DALAM KOTA
JK2,125827,JL RAYA DUREN SAWIT H 2/12 KLENDER KLENDER,-6.2172566,106.9033981,DUREN SAWIT,JAKARTA,DKI JAKARTA,13440,PHARMACY REGULAR (REG),B-DR-02,BASE 02,DALAM KOTA
JK2,125864,RUKO PONDOK GEDE PLAZA BLOK B NO. 14 JATIWARINGIN PONDOK GEDE JATI WARINGIN,-6.2833641,106.9118776,JATIWARINGIN,PONDOKGEDE,JAWA BARAT,17411,PHARMACY REGULAR (REG),P-DR-04,PERI 04,PINGGIRAN KOTA
JK2,125428,JL. KRANGAN PERMAI NO. 16 JATI SAMPURNA-JATI SAMPURNA,-6.3680617,106.9194215,JATISAMPURNA,PONDOKGEDE,JAWA BARAT,17433,PHARMACY REGULAR (REG),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,149767,JL. CEMPAKA PUTIH RAYA B4 RT.07/8 CEMPAKA PUTIH CEMPAKA PUTIH TIMUR,-6.1762066,106.8716492,CEMPAKA PUTIH TIMUR,JAKARTA,DKI JAKARTA,10510,PHARMACY REGULAR (REG),B-DR-09,BASE 09,DALAM KOTA
JK2,126016,JL.PONDASI NO 60 KAYU PUTIH  PULO GADUNG,-6.1885961,106.8848365,KAYU PUTIH,JAKARTA,DKI JAKARTA,13210,PBF REGULAR,B-DR-26,BASE 26,DALAM KOTA
JK2,125438,"JL. TEBET RAYA NO. 11 H, TEBET TEBET TEBET BARAT",-6.2300074,106.8521087,TEBET BARAT,JAKARTA,DKI JAKARTA,12810,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,149787,BOULEVARD GADINGTIMURBLK NBI56 KELAPA GADING KLP. GADING TIMUR,-6.166211,106.9033981,KELAPA GADING TIMUR,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,125414,RAYA BOGOR NO. 24 KRAMAT JATI KRAMAT JATI BATU AMPAR,-6.278287,106.8697397,KRAMATJATI,JAKARTA,DKI JAKARTA,13510,PHARMACY REGULAR (REG),P-DR-04,PERI 04,PINGGIRAN KOTA
JK2,149878,JL.BOULEVARD RAYA T N 2/27 KELAPA GADING TIMUR-KELAPA GADING,-6.1644336,106.9027267,KELAPA GADING TIMUR,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),B-DR-08,BASE 08,DALAM KOTA
JK2,149881,JL. KELAPA GADING BOULEVARD NO.2/25 KELAPA GADING KLP. GADING TIMUR,-6.1773906,106.9041188,KELAPA GADING BARAT,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,149888,JL. ANGKASA BLOK B 15 KAV 1 GUNUNG SAHARI - KEMAYORAN,-6.1571536,106.8420159,KEMAYORAN,JAKARTA,DKI JAKARTA,10620,HOSPITAL GOVERNMENT (GVM),B-DR-09,BASE 09,DALAM KOTA
JK2,149826,"JL. SUMAGUNG III,BLOK V/7 KELAPA GADING KLP. GADING TIMUR",-6.171088,106.9027013,KELAPA GADING TIMUR,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,149833,JL. PERINTIS KEMERDEKAAN KLP.GADING,-6.1751182,106.8933412,KELAPA GADING,JAKARTA,DKI JAKARTA,0,MODERN INDEPENDENT (MTI),P-DR-05,PERI 05,PINGGIRAN KOTA
JK2,149832,JL. MARGONDA RAYA RT.02/11 DEPOK .,-6.3827482,106.8296971,BEJI,DEPOK,JAWA BARAT,16424,MODERN INDEPENDENT (MTI),P-DR-05,PERI 05,PINGGIRAN KOTA
JK2,149831,JL. RAYA PEKAYON RT.01/02 BEKASI,-6.28745809999999,106.9676943,BEKASI SELATAN,BEKASI,,0,MODERN INDEPENDENT (MTI),P-DR-05,PERI 05,PINGGIRAN KOTA
JK2,149836,JL KALIBARU BARAT NO. 65 .,-6.1038453,106.9145016,KALIBARU,JAKARTA,DKI JAKARTA,14110,PBF REGULAR,B-DR-15,BASE 15,DALAM KOTA
JK2,125367,"JL. RAYA PONDOK GEDE, PINANG RANTI, MAKASAR, JAKARTA TIMUR PINANG RANTI - MAKASAR",-6.2910539,106.8853382,MAKASAR,JAKARTA,DKI JAKARTA,13570,HOSPITAL PRIVATE (PVT),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,149847,JL. BEKASI TIMUR NO.6 PULO GADUNG JATINEGARA,-6.2102993,106.8930384,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,HOSPITAL PRIVATE (PVT),B-DR-02,BASE 02,DALAM KOTA
JK2,125381,JL. INSPEKSI TARUM BARAT KALIMALANG CIPINANG - MAKASAR,-6.2528204,106.9093,MAKASAR,JAKARTA,DKI JAKARTA,13570,HOSPITAL PRIVATE (PVT),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,125348,JL. OTISTA NO. 68 B JATINEGARA OTISTA -JATINEGARA TIMUR,-6.23261889999999,106.8671486,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,149940,PERINTIS KEMERDEKAAN KAV 149 PULOGADUNG,-6.1751182,106.8933412,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,HOSPITAL PRIVATE (PVT),B-DR-07,BASE 07,DALAM KOTA
JK2,126017,KOMP. MARINATAMA BLOK A NO. 12A  JL GN.SAH.RAYA NO2 PADEMANGAN,-6.134315,106.833358,SAWAH BESAR,JAKARTA UTARA,DKI JAKARTA,14420,PBF TENDER,P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,149951,JL. CEMPAKA PUTIH TENGAH I/1 CEMPAKA PUTIH TIMUR - CEMPAKA PUTIH CEMPAKA PUTIH TIMUR,-6.170634,106.870201,CEMPAKA PUTIH TIMUR,JAKARTA,DKI JAKARTA,10510,HOSPITAL PRIVATE (PVT),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,149950,JL. TIPAR CAKUNG NO. 5 SUKAPURA CILINCING,-6.1576603,106.9309764,CILINCING,JAKARTA,DKI JAKARTA,14120,HOSPITAL PRIVATE (PVT),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,125473,JL.RAYA PONDOK KOPI PONDOK KOPI DUREN SAWIT,-6.2246424,106.9426858,DUREN SAWIT,JAKARTA,DKI JAKARTA,13440,HOSPITAL PRIVATE (PVT),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,125530,JL. RS. POLRI NO. 1 RT 012/004 KRAMAT JATI KRAMAT JATI,-6.2696562,106.8678747,KRAMATJATI,JAKARTA TIMUR,DKI JAKARTA,13510,PHARMACY REGULAR (REG),B-DR-06,BASE 06,DALAM KOTA
JK2,125531,JL. JATI KRAMAT RAYA NO.10 JATI ASIH JATI KRAMAT,-6.268475,106.9427566,JATIKRAMAT,PONDOKGEDE,JAWA BARAT,17421,PHARMACY REGULAR (REG),P-DR-04,PERI 04,PINGGIRAN KOTA
JK2,125542,JL. RAYA JATI MAKMUR NO. 12 PONDOK GEDE PONDOK GEDE,-6.28568099999999,106.919054,JATIMAKMUR,PONDOKGEDE,JAWA BARAT,17413,PHARMACY REGULAR (REG),P-DR-04,PERI 04,PINGGIRAN KOTA
JK2,125565,JL MATRAMAN RAYA NO 151 PALMERIAM - MATRAMAN KEBON MANGGIS,-6.2105426,106.8603504,PAL MERIAM,JAKARTA,DKI JAKARTA,13140,PHARMACY REGULAR (REG),P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,125584,JL.RAYA PONDOK GEDE 50 A KAV.4 PONDOK GEDE,-6.2855699,106.9119949,JATIWARINGIN,PONDOKGEDE,JAWA BARAT,17411,PHARMACY REGULAR (REG),P-DR-04,PERI 04,PINGGIRAN KOTA
JK2,125596,JL. RAYA BEKASI TIMUR 49 CAKUNG,-6.1928408,106.9059801,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-02,BASE 02,DALAM KOTA
JK2,150011,JL. KALIBARU BARAT NO. 65 KEBON KOSONG - KEMAYORAN,-6.16624539999999,106.8503538,KEBON KOSONG,JAKARTA,DKI JAKARTA,10630,PHARMACY REGULAR (REG),B-DR-09,BASE 09,DALAM KOTA
JK2,150015,JL. PULO MAS TIMUR K BL G/AC/1 PULOGADUNG PULOGADUNG,-6.1758756,106.8852792,KAYU PUTIH,JAKARTA,DKI JAKARTA,13210,HOSPITAL PRIVATE (PVT),P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,150138,JL. HBR MOTIK (LANDASAN PACU TIMUR) KEBON KACANG - KEMAYORAN,-6.1519876,106.8556924,KEMAYORAN,JAKARTA,DKI JAKARTA,10620,HOSPITAL PRIVATE (PVT),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,149958,JL. SUMAGUNG I/DE NO. 10 KLP. GADING TIMUR KLP. GADING TIMUR,-6.1730673,106.8999798,KELAPA GADING BARAT,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,149968,JL. AGUNG JAYA 2 BLOK D1-A NO.6 SUNTER AGUNG - TANJUNG PRIOK,-6.1445465,106.8590864,SUNTER AGUNG,JAKARTA,DKI JAKARTA,14350,PHARMACY REGULAR (REG),B-DR-11,BASE 11,DALAM KOTA
JK2,150072,JL. ANGGREK NO. 37 RAWA BADAK UTARA - KOJA,-6.115447,106.895285,RAWA BADAK,JAKARTA,DKI JAKARTA,14230,PHARMACY REGULAR (REG),P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,125661,JL CIPINANG CEMPEDAK NO 4 CIPINANG CIPINANG CEMPEDAK,-6.23708239999999,106.8695084,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,150043,JL.DANAU SUNTER UTARA BLOK F-25/12 SUNTER AGUNG - TANJUNG PRIOK,-6.1382615,106.8665554,TANJUNGPRIOK,JAKARTA,DKI JAKARTA,14310,HOSPITAL PRIVATE (PVT),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,150047,JL.SUMMAGUNG III BLOK PB 1 RT 012 RW 019 KELAPA GADING TIMUR-KELAPA GADING,-6.1713626,106.9031551,KELAPA GADING TIMUR,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,125488,JL. CILILITAN BESAR NO. 12 MAKASAR CILILITAN,-6.2644975,106.8683774,KRAMATJATI,JAKARTA,DKI JAKARTA,13510,PHARMACY REGULAR (REG),B-DR-06,BASE 06,DALAM KOTA
JK2,150158,JL. AGUNG UTARA II BLOK A26/2B - SUNTER AGUNG,-6.1375795,106.8578469,SUNTER AGUNG,JAKARTA,DKI JAKARTA,14350,PHARMACY REGULAR (REG),B-DR-11,BASE 11,DALAM KOTA
JK2,150114,JL. ANGKASA DALAM I NO. 50 AB RT.13 RW.03 GUNUNG SAHARI SELATAN - KEMAYORAN,-6.1582642,106.8424415,GUNUNG SAHARI SELATAN,JAKARTA,DKI JAKARTA,10610,PHARMACY REGULAR (REG),B-DR-09,BASE 09,DALAM KOTA
JK2,126034,JL. WALANG BARU RAYA BLOK R NO 20 RT003 RW010 TUGU UTARA-KOJA KOMP. SET-NEG BLOK T,-6.1216227,106.9047439,KOJA,JAKARTA,DKI JAKARTA,14210,PHARMACY REGULAR (REG),B-DR-08,BASE 08,DALAM KOTA
JK2,125231,JL OTISTA III C/ 16 RT 008/016 CIPINANG CEMPEDAK,-6.2312034,106.8730321,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,125227,JL. PISANGAN LAMA III/03 JATINEGARA PISANGAN TIMUR,-6.20891029999999,106.8786624,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,126273,JL. PALMERIAM NO.8A PALMERIAM - MATRAMAN,-6.205202,106.859146,PAL MERIAM,JAKARTA,DKI JAKARTA,13140,PHARMACY REGULAR (REG),B-DR-10,BASE 10,DALAM KOTA
JK2,150202,JL.PARADISE BARAT RAYA II BLOK C/40 SUNTER AGUNG,-6.1299667,106.8379168,SUNTER AGUNG,JAKARTA,DKI JAKARTA,14350,PHARMACY CHAIN (CHN),B-DR-11,BASE 11,DALAM KOTA
JK2,126300,JL. LETJEN. SIMATUPANG NO. 30 GEDONG - PASAR REBO,-6.3003881,106.8620891,KRAMATJATI,JAKARTA,DKI JAKARTA,13510,HOSPITAL GOVERNMENT (GVM),U-DR-01,UPCNT 01,LUAR KOTA
JK2,150217,JL KRAMAT JAYA 1 TUGU UTARA - KOJA,-6.1214211,106.9169296,TUGU UTARA,JAKARTA,DKI JAKARTA,14260,HOSPITAL GOVERNMENT (GVM),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,150218,JL. DANAU SUNTER UTARA G7 III/23 SUNTER AGUNG - TANJUNG PRIOK,-6.13812779999999,106.8709302,SUNTER AGUNG,JAKARTA,DKI JAKARTA,14350,PHARMACY REGULAR (REG),B-DR-11,BASE 11,DALAM KOTA
JK2,150168,JL LETJEN SUPRAPTO 62 SENEN TANAH TINGGI,-6.1752047,106.8485823,CEMPAKA PUTIH TIMUR,JAKARTA,DKI JAKARTA,10510,PHARMACY REGULAR (REG),B-DR-09,BASE 09,DALAM KOTA
JK2,126325,JL. RAYA PERSAHABATAN JAKARTA RAWAMANGUN - PULO GADUNG,-6.2028354,106.8859801,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,HOSPITAL GOVERNMENT (GVM),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,150173,JL. AHMAD YANI NO. 2 CEMPAKA PUTIH TIMUR - CEMPAKA PUTIH,-6.1735802,106.8759425,CEMPAKA PUTIH TIMUR,JAKARTA,DKI JAKARTA,10510,HOSPITAL GOVERNMENT (GVM),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,150179,JL TMN.SUNTER INDAH BL HJ 2/22 SUNTER JAYA TANJUNG PRIOK SUNTER JAYA,-6.1539636,106.8790807,SUNTER JAYA,JAKARTA,DKI JAKARTA,14350,PHARMACY REGULAR (REG),B-DR-11,BASE 11,DALAM KOTA
JK2,126343,RS. POLRI KRAMAT JATI KRAMAT JATI,-6.2695439,106.8705288,KRAMATJATI,JAKARTA,DKI JAKARTA,13510,HOSPITAL GOVERNMENT (GVM),P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,126237,JL. INTERKOTA BLK.AE -3-AF-3 DURI KOSAMBI-CENGKARENG,-6.1661899,106.7241862,CENGKARENG BARAT,JAKARTA,DKI JAKARTA,11730,PBF REGULAR,P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,125008,JL. MATRAMAN RAYA NO 85 KELURAHAN PALMERIAM SAWAH BESAR,-6.2049654,106.8582628,PAL MERIAM,JAKARTA,DKI JAKARTA,13140,PHARMACY CHAIN (CHN),B-DR-10,BASE 10,DALAM KOTA
JK2,150335,JL AGUNG UTARA RAYA BLOK A NO. 1 SUNTER AGUNG,-6.1348162,106.8590422,TANJUNGPRIOK,JAKARTA,DKI JAKARTA,14310,HOSPITAL PRIVATE (PVT),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,150270,JL PULO ASEM TIMUR NO. 34 PULO GADUNG,-6.1904471,106.8967223,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,126223,JL. RAYA JATINEGARA TIMUR NO. 85-87 JATINEGARA,-6.22169719999999,106.8681492,JATINEGARA,JAKARTA,DKI JAKARTA,13930,HOSPITAL PRIVATE (PVT),P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,126305,PERTOKOAN SELMIS JL. ASEM BARIS RAYA NO. 52 BLOK II NO. 11RT/RW;0/0 KEBON BARU - TEBET,-6.2327029,106.8606139,TEBET TIMUR,JAKARTA,DKI JAKARTA,12820,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,126311,JL. BALAI PUSTAKA RAYA NO.29 RAWAMANGUN - PULO GADUNG,-6.1963994,106.885487,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,HOSPITAL PRIVATE (PVT),B-DR-10,BASE 10,DALAM KOTA
JK2,126313,JL OTISTA III NO.45 OTISTA BIDARA CINA,-6.2314552,106.8710858,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,150237,JL. PRAMUKA RAYA NO 394 A RT/RW 010/006 PASEBAN - SENEN PASEBAN,-6.1972621,106.8561478,KAYU MANIS,JAKARTA,DKI JAKARTA,13130,GENERAL CLINIC (GEN),P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,126341,JL. BALAI PUSTAKA TIMUR NO. 11 RAWAMANGUN,-6.1964472,106.8837707,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-01,BASE 01,DALAM KOTA
JK2,125266,JL.BALAI PUSTAKA TIMUR NO.39 BLOK B 11 RAWAMANGUN - PULOGADUNG,-6.1984829,106.8862431,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY CHAIN (CHN),B-DR-01,BASE 01,DALAM KOTA
JK2,150334,JL. LETJEN SUPRAPTO NO L10 HARAPAN MULIA KEMAYORAN HARAPAN MULIA - KEMAYORAN HARAPAN MULYA,-6.17382889999999,106.8568914,KEMAYORAN,JAKARTA,DKI JAKARTA,10620,PHARMACY REGULAR (REG),B-DR-09,BASE 09,DALAM KOTA
JK2,125278,JL. CURUG RAYA NO. 12 PDK. KELAPA PONDOK KELAPA,-6.249787,106.924393,DUREN SAWIT,JAKARTA,DKI JAKARTA,13440,PHARMACY REGULAR (REG),P-DR-04,PERI 04,PINGGIRAN KOTA
JK2,125280,KOMP. PERTOKOAN BUKIT DURI BLOK B NO. 5-6  JL. JATINEGARA BARAT KAMPUNG MELAYU - JATINEGARA,-6.2178672,106.85998,JATINEGARA,JAKARTA,DKI JAKARTA,13930,DRUG STORE,P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,150479,JL WARAKAS RAYA NO 5 RT 2 RW 1 WARAKAS-TANJUNG PRIOK WARAKAS,-6.11621,106.8800341,WARAKAS,JAKARTA,DKI JAKARTA,14340,PHARMACY CHAIN (CHN),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,125294,JL.RAYA HANKAM NO 92-94 RT 005/ RW 06 RUKO NO 5 PONDOK GEDE,-6.26460459999999,106.9320791,JATIWARINGIN,PONDOKGEDE,JAWA BARAT,17411,PHARMACY REGULAR (REG),P-DR-04,PERI 04,PINGGIRAN KOTA
JK2,126158,"SETIA JAYA, APT CAWANG",-6.2490679,106.8679899,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,150295,JL. LONTAR A NO. 22 KOJA TUGU UTARA,-6.1189556,106.9137986,TUGU UTARA,JAKARTA,DKI JAKARTA,14260,PHARMACY REGULAR (REG),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,150309,JL SALEMBA RAYA NO. 41 PASEBAN SENEN,-6.1898349,106.8474098,PASEBAN,JAKARTA,DKI JAKARTA,10440,HOSPITAL PRIVATE (PVT),P-DR-02,PERI 02,PINGGIRAN KOTA
JK2,126221,SUNAN SEDAYU I-1 A RAWAMANGUN PULO GADUNG - PULO GADUNG,-6.19703,106.89287,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-01,BASE 01,DALAM KOTA
JK2,150316,TAWES 18 TG.PRIOK TANJUNG PRIOK,-6.11231299999999,106.8821185,TANJUNGPRIOK,JAKARTA,DKI JAKARTA,14310,HOSPITAL PRIVATE (PVT),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,150409,JL. SUNTER INDAH RAYA BL.NJI/I SUNTER INDAH SUNTER JAYA,-6.1528676,106.8721885,SUNTER JAYA,JAKARTA,DKI JAKARTA,14350,PHARMACY REGULAR (REG),B-DR-11,BASE 11,DALAM KOTA
JK2,150410,JL SUNTER KEMAYORAN NO.4  RT.002 RW. 03 SUNTER JAYA - TANJUNG PRIOK,-6.15717429999999,106.8667221,SUNTER JAYA,JAKARTA,DKI JAKARTA,14350,PHARMACY CHAIN (CHN),B-DR-11,BASE 11,DALAM KOTA
JK2,126006,JL. OTTO ISKANDARDINATA RAYA NO.33A BIDARA CINA BIDARA CINA,-6.2277618,106.8674135,JATINEGARA,JAKARTA,DKI JAKARTA,13930,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,150272,"JL. RAYA PENGGILINGAN, KOMP. PULO INDAH BLOK M/23 PENGGILINGAN - CAKUNG",-6.1972911,106.9353288,PENGGILINGAN,JAKARTA,DKI JAKARTA,13940,PHARMACY REGULAR (REG),B-DR-02,BASE 02,DALAM KOTA
JK2,150364,JL. CEMPAKA PUTIH RAYA 129 CEMPAKA PUTIH CEMPAKA PUTIH TIMUR,-6.1762333,106.8729397,CEMPAKA PUTIH TIMUR,JAKARTA,DKI JAKARTA,10510,PHARMACY REGULAR (REG),B-DR-09,BASE 09,DALAM KOTA
JK2,126088,JL MT. HARYONO NO.8 TEBET TEBET BARAT,-6.2427224,106.8496425,TEBET BARAT,JAKARTA,DKI JAKARTA,12810,HOSPITAL PRIVATE (PVT),B-DR-05,BASE 05,DALAM KOTA
JK2,150375,JL SALEMBA TENGAH NO. 24-28 PASEBAN SENEN,-6.1936839,106.8520944,SENEN,JAKARTA,DKI JAKARTA,10410,HOSPITAL PRIVATE (PVT),B-DR-10,BASE 10,DALAM KOTA
JK2,126146,PS. PRAMUKA MATRAMAN,-6.19713849999999,106.8574868,PAL MERIAM,JAKARTA,DKI JAKARTA,13140,DRUG STORE,B-DR-10,BASE 10,DALAM KOTA
